Возраст,Иждивенцы,Доход (тыс. руб.),Опыт работы,Срок проживания,Стоимость недвижимости в собственности (тыс.дол.),Месячный платеж (тыс.руб.),Благонадежный заемщик
28,0,9,9,7,0,3.946,0
39,1,13.5,17,6,0,2.46,1
31,2,7,11,3,0,3.126,0
34,1,10.2,15,2,41,3.28,1
46,2,8.5,20,8,0,3.348,1
30,2,9.5,12,30,35,4.612,0
47,2,7.9,14.5,6,67,2.87,0
33,2,12.6,15,23,0,2.05,1
22,0,34,4,19,33,2.562,1
30,1,33,10,8,0,1.948,1
26,1,13.5,8,2,31,5.535,1
48,2,24,22,40,40,1.845,1
37,1,12.5,15.5,6,18,2.409,1
27,1,4,9,6,0,4.305,0
55,1,5.5,11.5,35,28,3.382,0
39,1,8,6,8,0,4.818,0
29,1,11,11,29,38,5.228,1
36,1,11.6,18,13,0,4.373,1
32,1,8.5,14,28,0,2.101,1
35,0,4.5,16,33,0,1.913,0
46,1,9,16,28,0,0.718,1
22,1,4,3,20,21,6.252,0
37,2,29,12,6,0,4.612,1
56,0,29,19,36,34,4.237,1
34,1,26,16,5,40,6.662,1
40,2,10.5,20.5,2,25,3.895,0
33,1,10.7,15,3,24,4.612,0
37,2,35,17.5,31,0,3.485,1
24,0,11.5,6,8,0,2.972,1
30,2,15.5,6,6,20,1.435,1
32,1,11.3,14,28,0,6.56,0
25,2,12.5,7,17,0,1.948,1
37,0,18.2,17.5,36,0,3.382,1
33,2,16.5,15,3,0,3.895,1
24,1,12.5,6,14,0,2.101,1
41,2,29.8,13.5,28,0,3.895,1
28,2,25,7,15,0,4.237,1
35,3,8.5,12,23,0,5.842,0
32,0,33,14,26,0,4.92,1
35,0,17.5,6,5,0,2.562,1
37,0,17,13.5,6,0,3.143,1
32,1,18.7,14,2,0,3.998,1
37,2,6,19,11,0,3.007,0
27,0,12.5,9,21,25,8.098,0
50,0,31.8,23.5,17,0,3.69,1
28,1,5.1,2.5,7,25,2.87,0
24,1,2.1,6,12,27,1.896,0
49,0,11,27,4,32,4.51,1
30,1,10,12,11,0,5.228,0
35,0,13.5,17,35,57,4.51,1
34,1,9.5,16,34,23,5.74,0
23,2,15.5,5,7,70,6.868,0
25,1,12,7,6,0,2.255,1
34,0,13.5,4,20,0,2.768,1
38,2,14,18.5,20,0,3.178,1
40,1,7,20,3,39,6.765,0
35,1,27,7,27,0,2.562,1
53,0,17,31,51,10,3.588,1
22,0,10,3,22,29,2.87,1
27,0,10,9,27,25,3.178,1
33,1,9,10.5,3,0,2.05,1
39,2,7,20.5,5,0,4.92,0
27,0,12,6,27,0,3.69,1
30,1,12,2,17,0,1.999,1
35,1,7.5,6.5,35,36,3.024,0
49,1,18.8,5,4,32,4.818,1
40,1,7.4,17.5,23,0,1.025,1
40,0,9.5,17.5,2,0,5.74,0
34,0,14.5,9,3,0,2.05,1
40,1,11,18,40,30,3.212,1
35,2,12.5,16,7,21,6.048,0
29,0,8,11,6,27,2.358,1
26,3,34.5,8,15,0,4.715,1
22,1,7,3,20,43,4.168,0
35,1,15.5,6.5,20,38,3.485,1
45,2,11.5,19.5,3,35,3.485,1
34,1,3.5,16,34,0,3.024,0
40,1,10.1,22,5,0,3.485,0
24,2,8.8,12,8,0,3.792,0
46,3,10.5,17.5,25,0,4.202,0
30,2,13,5,21,0,2.716,1
22,0,10.5,4,22,32,1.896,1
35,1,5.5,16.5,35,27,2.358,0
34,2,21.5,16,32,41,2.118,1
37,0,12.9,14,12,0,3.895,1
